"Location","Population","Highest Infection Count","Percent Population Infected"
"Haiti",11447569,33764,0.294944717083601
"Belgium",11611420,4602438,39.6371675471217
"Bolivia",12079472,1109171,9.18228048378273
"Tunisia",12262946,1146044,9.3455846580422
"Burundi",12551213,50372,0.401331727857698
"Benin",12996895,27782,0.213758747762446
"Rwanda",13461888,132533,0.984505293759687
"Guinea",13531906,37999,0.280810404683568
"Zimbabwe",15993524,257893,1.61248390285968
"Cambodia",16589023,137979,0.83174880160212
"Senegal",16876720,88630,0.52516128726435
"Somalia",17065581,27225,0.15953163270562
"Chad",17179740,7613,0.0443138254711655
"Netherlands",17501696,8498484,48.5580597446099
"Guatemala",17608483,1135690,6.4496754206481
"Ecuador",17797737,1006922,5.65758444458416
"Kazakhstan",19196465,1484504,7.73321546440972
"Romania",19328560,3282224,16.9812132926612
"Zambia",19473125,333644,1.71335622813493
"Chile",19493184,4696888,24.0950272669668
"Malawi",19889742,88065,0.442765924263874
"Syria",21324367,57344,0.268913023303341
"Sri Lanka",21773441,670966,3.08157998545108
"Mali",21904983,32714,0.149345014328475
"Burkina Faso",22100683,21631,0.097874803235719
"Taiwan",23859912,7341966,30.7711361215414
"Niger",25252722,9415,0.0372831095198371
"Australia",25921089,10341058,39.8943809806756
"North Korea",25971909,1,3.85031381405194e-06
"Cameroon",27198628,121652,0.447272560954178
"Cote d'Ivoire",27478249,87676,0.319074188460844
"Venezuela",28199866,545469,1.93429642538018
"Madagascar",28915653,66687,0.230625951971411
"Nepal",30034989,1000325,3.3305322668838
"Mozambique",32077072,230370,0.718176521847131
"Ghana",32833031,170421,0.519053510472426
"Yemen",32981641,11939,0.0361989265482576
"Malaysia",33573874,4875131,14.5206090902706
"Peru",33715472,4151705,12.3139459533593
"Uzbekistan",34081449,244436,0.717211289930777
"Angola",34503774,103131,0.298897737969186
"Saudi Arabia",35950396,819811,2.2803949085846
"Morocco",37076584,1265332,3.41275237222501
"Canada",38155012,4341692,11.3790869728989
"Poland",38307726,6332422,16.5304043367126
"Afghanistan",40099462,201750,0.503123957124412
"Ukraine",43531422,5583316,12.8259444407766
"Iraq",43533592,2460868,5.65280255302618
"Algeria",44177969,270769,0.612905043235464
"Oceania",44491772,12544263,28.1945682001607
"Argentina",45276780,9715464,21.4579393675964
"Sudan",45657202,63449,0.138968217982346
"Uganda",45853778,169396,0.369426484334617
"Spain",47486935,13462593,28.3500988219181
"Colombia",51516562,6309168,12.2468731512014
"South Korea",51830139,25244255,48.7057443546505
"Kenya",53005614,338703,0.63899457895158
"Myanmar",53798084,629926,1.17090787099407
"Italy",59240330,23254633,39.2547323757312
"South Africa",59392255,4024959,6.77690887473459
"Tanzania",63588334,39679,0.0623998106319313
"United Kingdom",67281040,23855526,35.4565357491501
"France",67422000,36537787,54.1926774643292
"Thailand",71601103,4687281,6.54638099639331
"Germany",83408554,35098062,42.0796912508518
"Turkey",84775404,16919638,19.9581921190255
"Iran",87923432,7555555,8.59333493715305
"Democratic Republic of Congo",95894118,93027,0.0970101211004412
"Vietnam",97468028,11495772,11.7944029810473
"Egypt",109262178,515645,0.471933663998534
"Philippines",113880328,3989556,3.50328811838336
"Ethiopia",120283026,493837,0.410562501146255
"Japan",124612530,21923635,17.5934434522756
"Mexico",126705138,7105565,5.60795332546025
"Russia",145102755,21041184,14.500885251972
"Bangladesh",169356251,2033662,1.20081897656084
"Nigeria",213401323,265937,0.124618252718143
"Brazil",214326223,34771320,16.2235490894644
"Pakistan",231402116,1572778,0.679673127967421
"Indonesia",273753191,6464962,2.36160242603346
"United States",336997624,97139323,28.8249281543896
"South America",433956670,64166400,14.7863610438342
"European Union",447593544,172462543,38.5310613416712
"North America",596315269,115127204,19.3064323496301
"Low income",701926970,2248510,0.320333894564558
"Europe",748655221,234621161,31.3390135297006
"High income",1241374280,389521740,31.3782673183788
"Africa",1392394303,12372665,0.888589171425244
"India",1407563842,44638636,3.17134006060949
"China",1425893464,1017089,0.0713299433428078
"Upper middle income",2501427940,138609024,5.54119596185529
"Lower middle income",3363196660,96373392,2.86552948705652
"Asia",4693235454,187952022,4.00474307846222
"World",7909295152,626784436,7.9246560401973
